	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
Trial1.fna_assembly_LT906445.1_1590	Trial1.fna_assembly	LT906445.1	1590	1767392	1770295	-1	D										Domain of unknown function (DUF3427) [PF11907.11]; Type III restriction enzyme, res subunit [PF04851.18]; Helicase conserved C-terminal domain [PF00271.34]; PLD-like domain [PF13091.9]; SWI2/SNF2 ATPase [PF18766.4]					0
Trial1.fna_assembly_LT906445.1_1591	Trial1.fna_assembly	LT906445.1	1591	1770610	1771539	1	D										Protein of unknown function (DUF3829) [PF12889.10]					0
Trial1.fna_assembly_LT906445.1_1592	Trial1.fna_assembly	LT906445.1	1592	1771607	1773160	-1	C	K02035	peptide/nickel transport system substrate-binding protein								Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.25]					0
Trial1.fna_assembly_LT906445.1_1593	Trial1.fna_assembly	LT906445.1	1593	1773551	1774366	-1	D										ABC transporter [PF00005.30]					0
Trial1.fna_assembly_LT906445.1_1594	Trial1.fna_assembly	LT906445.1	1594	1774359	1775156	-1	D										ABC transporter [PF00005.30]					0
Trial1.fna_assembly_LT906445.1_1595	Trial1.fna_assembly	LT906445.1	1595	1775169	1776737	-1	C	K02035	peptide/nickel transport system substrate-binding protein								Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.25]					0
Trial1.fna_assembly_LT906445.1_1596	Trial1.fna_assembly	LT906445.1	1596	1776891	1777712	-1	C	K02034	peptide/nickel transport system permease protein													0
Trial1.fna_assembly_LT906445.1_1597	Trial1.fna_assembly	LT906445.1	1597	1777712	1778650	-1	C	K02033	peptide/nickel transport system permease protein								Binding-prot-dependent transport system membrane comp, N-term [PF19300.2]; Binding-protein-dependent transport system inner membrane component [PF00528.25]					0
Trial1.fna_assembly_LT906445.1_1598	Trial1.fna_assembly	LT906445.1	1598	1779157	1779282	-1	E															0
Trial1.fna_assembly_LT906445.1_1599	Trial1.fna_assembly	LT906445.1	1599	1779379	1780710	-1	C	K03756	putrescine:ornithine antiporter								Amino acid permease [PF13520.9]; Amino acid permease [PF00324.24]					0
Trial1.fna_assembly_LT906445.1_1600	Trial1.fna_assembly	LT906445.1	1600	1781221	1781364	1	E															0
Trial1.fna_assembly_LT906445.1_1601	Trial1.fna_assembly	LT906445.1	1601	1781300	1782727	-1	C	K01755	argininosuccinate lyase [EC:4.3.2.1]								Lyase [PF00206.23]; Argininosuccinate lyase C-terminal [PF14698.9]					0
Trial1.fna_assembly_LT906445.1_1602	Trial1.fna_assembly	LT906445.1	1602	1782727	1783938	-1	C	K01940	argininosuccinate synthase [EC:6.3.4.5]								Arginosuccinate synthase [PF00764.22]					0
Trial1.fna_assembly_LT906445.1_1603	Trial1.fna_assembly	LT906445.1	1603	1783991	1784140	-1	E															0
Trial1.fna_assembly_LT906445.1_1604	Trial1.fna_assembly	LT906445.1	1604	1784214	1784972	-1	D										Protein of unknown function (DUF3969) [PF13108.9]					0
Trial1.fna_assembly_LT906445.1_1605	Trial1.fna_assembly	LT906445.1	1605	1785005	1785706	-1	E															0
Trial1.fna_assembly_LT906445.1_1606	Trial1.fna_assembly	LT906445.1	1606	1785830	1786636	-1	C	K04478	monofunctional glycosyltransferase [EC:2.4.1.129]								Transglycosylase [PF00912.25]	GT51	GT51 murein polymerase (EC 2.4.1.129).	2.4.1.129	GT51.hmm	0
Trial1.fna_assembly_LT906445.1_1607	Trial1.fna_assembly	LT906445.1	1607	1786968	1787246	1	C	K21600	CsoR family transcriptional regulator, copper-sensing transcriptional repressor								Metal-sensitive transcriptional repressor [PF02583.20]					0
Trial1.fna_assembly_LT906445.1_1608	Trial1.fna_assembly	LT906445.1	1608	1787339	1787599	-1	C	K02784	phosphocarrier protein HPr								PTS HPr component phosphorylation site [PF00381.22]					0
Trial1.fna_assembly_LT906445.1_1609	Trial1.fna_assembly	LT906445.1	1609	1787738	1789465	-1	C	K08483	phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]								PEP-utilising enzyme, PEP-binding domain [PF02896.21]; PEP-utilising enzyme, N-terminal [PF05524.16]; PEP-utilising enzyme, mobile domain [PF00391.26]					0
Trial1.fna_assembly_LT906445.1_1610	Trial1.fna_assembly	LT906445.1	1610	1789783	1790616	1	C	K01778	diaminopimelate epimerase [EC:5.1.1.7]								Diaminopimelate epimerase [PF01678.22]; Proline racemase [PF05544.14]					0
Trial1.fna_assembly_LT906445.1_1611	Trial1.fna_assembly	LT906445.1	1611	1790618	1792015	1	C	K03315	Na+:H+ antiporter, NhaC family								Na+/H+ antiporter family [PF03553.17]					0
Trial1.fna_assembly_LT906445.1_1612	Trial1.fna_assembly	LT906445.1	1612	1792044	1792958	1	C	K00882	1-phosphofructokinase [EC:2.7.1.56]								pfkB family carbohydrate kinase [PF00294.27]; Phosphomethylpyrimidine kinase [PF08543.15]					0
Trial1.fna_assembly_LT906445.1_1613	Trial1.fna_assembly	LT906445.1	1613	1792992	1794986	1	C	K02770	fructose PTS system EIIBC or EIIC component [EC:2.7.1.202]								Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2 [PF00359.25]; Phosphotransferase system, EIIC [PF02378.21]					0
Trial1.fna_assembly_LT906445.1_1614	Trial1.fna_assembly	LT906445.1	1614	1795361	1799041	1	D										BD-FAE [PF20434.1]					0
Trial1.fna_assembly_LT906445.1_1615	Trial1.fna_assembly	LT906445.1	1615	1799314	1800249	-1	C	K01738	cysteine synthase [EC:2.5.1.47]								Pyridoxal-phosphate dependent enzyme [PF00291.28]					0
Trial1.fna_assembly_LT906445.1_1616	Trial1.fna_assembly	LT906445.1	1616	1800265	1800714	-1	D										Iron-dependent Transcriptional regulator [PF02082.23]					0
Trial1.fna_assembly_LT906445.1_1617	Trial1.fna_assembly	LT906445.1	1617	1801120	1801683	-1	C	K24119	NADH-dependent peroxiredoxin subunit C [EC:1.11.1.26]								AhpC/TSA family [PF00578.24]; Redoxin [PF08534.13]					0
Trial1.fna_assembly_LT906445.1_1618	Trial1.fna_assembly	LT906445.1	1618	1801872	1802087	-1	E															0
Trial1.fna_assembly_LT906445.1_1619	Trial1.fna_assembly	LT906445.1	1619	1802097	1803707	-1	C	K01937	CTP synthase [EC:6.3.4.2]	MER0450907	C26	MER0450907 - CTP synthetase (Veillonella sp. 6_1_27) [C26.964]#C26#{peptidase unit: 200-540}~source ZP_06757860~	True	0.974	702.0	2.51e-224	CTP synthase N-terminus [PF06418.17]; Glutamine amidotransferase class-I [PF00117.31]; Peptidase C26 [PF07722.16]					0
Trial1.fna_assembly_LT906445.1_1620	Trial1.fna_assembly	LT906445.1	1620	1803723	1805456	-1	C	K01887	arginyl-tRNA synthetase [EC:6.1.1.19]								tRNA synthetases class I (R) [PF00750.22]; DALR anticodon binding domain [PF05746.18]; Arginyl tRNA synthetase N terminal domain [PF03485.19]					0
Trial1.fna_assembly_LT906445.1_1621	Trial1.fna_assembly	LT906445.1	1621	1805422	1805880	-1	D										Domain of unknown function (DUF1934) [PF09148.13]					0
Trial1.fna_assembly_LT906445.1_1622	Trial1.fna_assembly	LT906445.1	1622	1805932	1806330	-1	C	K07461	putative endonuclease								GIY-YIG catalytic domain [PF01541.27]					0
Trial1.fna_assembly_LT906445.1_1623	Trial1.fna_assembly	LT906445.1	1623	1806308	1806949	-1	C	K03768	peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]								Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD [PF00160.24]					0
Trial1.fna_assembly_LT906445.1_1624	Trial1.fna_assembly	LT906445.1	1624	1807162	1808070	-1	D										Protein of unknown function (DUF3829) [PF12889.10]					0
Trial1.fna_assembly_LT906445.1_1625	Trial1.fna_assembly	LT906445.1	1625	1808207	1808983	-1	D										haloacid dehalogenase-like hydrolase [PF08282.15]; Sucrose-6F-phosphate phosphohydrolase [PF05116.16]					0
Trial1.fna_assembly_LT906445.1_1626	Trial1.fna_assembly	LT906445.1	1626	1808992	1809228	-1	D										Protein of unknown function (DUF1653) [PF07866.14]					0
Trial1.fna_assembly_LT906445.1_1627	Trial1.fna_assembly	LT906445.1	1627	1809273	1810346	-1	D										Iron-containing alcohol dehydrogenase [PF00465.22]; Iron-containing alcohol dehydrogenase [PF13685.9]					0
Trial1.fna_assembly_LT906445.1_1628	Trial1.fna_assembly	LT906445.1	1628	1810496	1811833	-1	C	K03311	branched-chain amino acid:cation transporter, LIVCS family								Branched-chain amino acid transport protein [PF05525.16]					0
Trial1.fna_assembly_LT906445.1_1629	Trial1.fna_assembly	LT906445.1	1629	1812038	1814041	-1	D										Molybdopterin oxidoreductase [PF00384.25]; Molydopterin dinucleotide binding domain [PF01568.24]; Molybdopterin oxidoreductase Fe4S4 domain [PF04879.19]					0
Trial1.fna_assembly_LT906445.1_1630	Trial1.fna_assembly	LT906445.1	1630	1814622	1815761	1	C	K05884	L-2-hydroxycarboxylate dehydrogenase (NAD+) [EC:1.1.1.337]								Malate/L-lactate dehydrogenase [PF02615.17]					0
Trial1.fna_assembly_LT906445.1_1631	Trial1.fna_assembly	LT906445.1	1631	1816057	1817694	1	C	K03303	lactate permease								L-lactate permease [PF02652.17]					0
Trial1.fna_assembly_LT906445.1_1632	Trial1.fna_assembly	LT906445.1	1632	1817782	1818066	-1	D										Peptidase propeptide and YPEB domain [PF03413.22]					0
Trial1.fna_assembly_LT906445.1_1633	Trial1.fna_assembly	LT906445.1	1633	1818444	1819631	1	C	K07552	MFS transporter, DHA1 family, multidrug resistance protein								Major Facilitator Superfamily [PF07690.19]; Sugar (and other) transporter [PF00083.27]; Fungal trichothecene efflux pump (TRI12) [PF06609.16]					0
Trial1.fna_assembly_LT906445.1_1634	Trial1.fna_assembly	LT906445.1	1634	1820723	1824979	-1	C	K23876	(R)-2-hydroxyacyl-CoA dehydratese activating ATPase [EC:5.6.1.9]								CoA enzyme activase uncharacterised domain (DUF2229) [PF09989.12]; 2-hydroxyglutaryl-CoA dehydratase, D-component [PF06050.16]; BadF/BadG/BcrA/BcrD ATPase family [PF01869.23]					0
Trial1.fna_assembly_LT906445.1_1635	Trial1.fna_assembly	LT906445.1	1635	1825494	1826327	-1	C	K02073	D-methionine transport system substrate-binding protein								NlpA lipoprotein [PF03180.17]					0
Trial1.fna_assembly_LT906445.1_1636	Trial1.fna_assembly	LT906445.1	1636	1826700	1828013	-1	D										Domain of unknown function (DUF389) [PF04087.17]; Serpentine type 7TM GPCR chemoreceptor Srb [PF02175.19]					0
Trial1.fna_assembly_LT906445.1_1637	Trial1.fna_assembly	LT906445.1	1637	1828023	1829060	-1	C	K00768	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]								Phosphoribosyltransferase [PF02277.20]					0
Trial1.fna_assembly_LT906445.1_1638	Trial1.fna_assembly	LT906445.1	1638	1829350	1830669	-1	D										Sodium:dicarboxylate symporter family [PF00375.21]					0
Trial1.fna_assembly_LT906445.1_1639	Trial1.fna_assembly	LT906445.1	1639	1830847	1832019	-1	D										Iron-containing alcohol dehydrogenase [PF00465.22]; Iron-containing alcohol dehydrogenase [PF13685.9]					0
Trial1.fna_assembly_LT906445.1_1640	Trial1.fna_assembly	LT906445.1	1640	1832168	1833727	1	E															0
Trial1.fna_assembly_LT906445.1_1641	Trial1.fna_assembly	LT906445.1	1641	1834010	1836292	1	C	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]								Ribonucleotide reductase, barrel domain [PF02867.18]; Ribonucleotide reductase, all-alpha domain [PF00317.24]; ATP cone domain [PF03477.19]					0
Trial1.fna_assembly_LT906445.1_1642	Trial1.fna_assembly	LT906445.1	1642	1836492	1837520	1	C	K00526	ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]								Ribonucleotide reductase, small chain [PF00268.24]					0
Trial1.fna_assembly_LT906445.1_1643	Trial1.fna_assembly	LT906445.1	1643	1837902	1838360	-1	E															0
Trial1.fna_assembly_LT906445.1_1644	Trial1.fna_assembly	LT906445.1	1644	1838461	1838877	-1	D										Acetyltransferase (GNAT) domain [PF13673.10]; Acetyltransferase (GNAT) domain [PF13508.10]; Acetyltransferase (GNAT) family [PF00583.28]					0
Trial1.fna_assembly_LT906445.1_1645	Trial1.fna_assembly	LT906445.1	1645	1839130	1839219	1	E															0
Trial1.fna_assembly_LT906445.1_1646	Trial1.fna_assembly	LT906445.1	1646	1839351	1840364	1	C	K03856	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]								DAHP synthetase I family [PF00793.23]; DAHP synthase ferredoxin-like domain [PF18152.4]					0
Trial1.fna_assembly_LT906445.1_1647	Trial1.fna_assembly	LT906445.1	1647	1840439	1841491	1	C	K01735	3-dehydroquinate synthase [EC:4.2.3.4]								3-dehydroquinate synthase [PF01761.23]; Iron-containing alcohol dehydrogenase [PF13685.9]					0
Trial1.fna_assembly_LT906445.1_1648	Trial1.fna_assembly	LT906445.1	1648	1841502	1842770	1	C	K00800	3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]								EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase) [PF00275.23]					0
Trial1.fna_assembly_LT906445.1_1649	Trial1.fna_assembly	LT906445.1	1649	1842845	1843939	1	C	K01736	chorismate synthase [EC:4.2.3.5]								Chorismate synthase [PF01264.24]					0
Trial1.fna_assembly_LT906445.1_1650	Trial1.fna_assembly	LT906445.1	1650	1843926	1845065	1	D										Prephenate dehydratase [PF00800.21]; Chorismate mutase type II [PF01817.24]					0
Trial1.fna_assembly_LT906445.1_1651	Trial1.fna_assembly	LT906445.1	1651	1845190	1846425	1	D										Shikimate kinase [PF01202.25]; Shikimate dehydrogenase substrate binding domain [PF08501.14]					0
Trial1.fna_assembly_LT906445.1_1652	Trial1.fna_assembly	LT906445.1	1652	1846765	1847370	1	C	K07473	DNA-damage-inducible protein J								RelB antitoxin [PF04221.15]					0
Trial1.fna_assembly_LT906445.1_1653	Trial1.fna_assembly	LT906445.1	1653	1847386	1847688	1	C	K19092	toxin ParE1/3/4								ParE toxin of type II toxin-antitoxin system, parDE [PF05016.18]					0
Trial1.fna_assembly_LT906445.1_1654	Trial1.fna_assembly	LT906445.1	1654	1847713	1848507	-1	C	K03785	3-dehydroquinate dehydratase I [EC:4.2.1.10]								Type I 3-dehydroquinase [PF01487.18]					0
Trial1.fna_assembly_LT906445.1_1655	Trial1.fna_assembly	LT906445.1	1655	1848816	1850060	-1	C	K08161	MFS transporter, DHA1 family, multidrug resistance protein								Major Facilitator Superfamily [PF07690.19]; Transmembrane secretion effector [PF05977.16]; MFS_1 like family [PF12832.10]; MFS/sugar transport protein [PF13347.9]; Sugar (and other) transporter [PF00083.27]					0
Trial1.fna_assembly_LT906445.1_1656	Trial1.fna_assembly	LT906445.1	1656	1850322	1850741	-1	D										Iron-dependent Transcriptional regulator [PF02082.23]					0
Trial1.fna_assembly_LT906445.1_1657	Trial1.fna_assembly	LT906445.1	1657	1850888	1852255	1	C	K06901	adenine/guanine/hypoxanthine permease								Permease family [PF00860.23]					0
Trial1.fna_assembly_LT906445.1_1658	Trial1.fna_assembly	LT906445.1	1658	1852508	1853872	-1	E															0
Trial1.fna_assembly_LT906445.1_1659	Trial1.fna_assembly	LT906445.1	1659	1853946	1854716	-1	E															0
Trial1.fna_assembly_LT906445.1_1660	Trial1.fna_assembly	LT906445.1	1660	1854955	1855467	-1	C	K07005	uncharacterized protein								Pyridoxamine 5'-phosphate oxidase [PF12900.10]					0
Trial1.fna_assembly_LT906445.1_1661	Trial1.fna_assembly	LT906445.1	1661	1855503	1855892	-1	D										MarR family [PF01047.25]; Winged helix DNA-binding domain [PF13463.9]; MarR family [PF12802.10]					0
Trial1.fna_assembly_LT906445.1_1662	Trial1.fna_assembly	LT906445.1	1662	1855959	1856366	-1	E															0
Trial1.fna_assembly_LT906445.1_1663	Trial1.fna_assembly	LT906445.1	1663	1856648	1858090	1	C	K11737	D-serine/D-alanine/glycine transporter								Amino acid permease [PF00324.24]; Amino acid permease [PF13520.9]					0
Trial1.fna_assembly_LT906445.1_1664	Trial1.fna_assembly	LT906445.1	1664	1858124	1858696	-1	D										Protein of unknown function, DUF600 [PF04634.15]					0
Trial1.fna_assembly_LT906445.1_1665	Trial1.fna_assembly	LT906445.1	1665	1858791	1859681	-1	E															0
Trial1.fna_assembly_LT906445.1_1666	Trial1.fna_assembly	LT906445.1	1666	1859889	1861013	-1	D										Cation efflux family [PF01545.24]; Dimerisation domain of Zinc Transporter [PF16916.8]					0
Trial1.fna_assembly_LT906445.1_1667	Trial1.fna_assembly	LT906445.1	1667	1861274	1862392	-1	D										RNA pseudouridylate synthase [PF00849.25]					0
Trial1.fna_assembly_LT906445.1_1668	Trial1.fna_assembly	LT906445.1	1668	1862392	1864980	-1	C	K03657	ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]								UvrD/REP helicase N-terminal domain [PF00580.24]; Exonuclease [PF00929.27]; UvrD-like helicase C-terminal domain [PF13361.9]; AAA domain [PF13245.9]; UvrD-like helicase C-terminal domain [PF13538.9]; AAA domain [PF13604.9]; Viral (Superfamily 1) RNA helicase [PF01443.21]					0
Trial1.fna_assembly_LT906445.1_1669	Trial1.fna_assembly	LT906445.1	1669	1864993	1865244	-1	E															0
Trial1.fna_assembly_LT906445.1_1670	Trial1.fna_assembly	LT906445.1	1670	1865249	1865845	-1	C	K06187	recombination protein RecR								Toprim domain [PF13662.9]; RecR protein [PF02132.18]					0
Trial1.fna_assembly_LT906445.1_1671	Trial1.fna_assembly	LT906445.1	1671	1865846	1866175	-1	C	K09747	nucleoid-associated protein EbfC								YbaB/EbfC DNA-binding family [PF02575.19]					0
Trial1.fna_assembly_LT906445.1_1672	Trial1.fna_assembly	LT906445.1	1672	1866316	1869003	-1	C	K02343	DNA polymerase III subunit gamma/tau [EC:2.7.7.7]								DNA polymerase III, delta subunit [PF13177.9]; DNA polymerase III subunits gamma and tau domain III [PF12169.11]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.15]; ATPase family associated with various cellular activities (AAA) [PF00004.32]; AAA domain [PF13401.9]					0
Trial1.fna_assembly_LT906445.1_1673	Trial1.fna_assembly	LT906445.1	1673	1869477	1874057	-1	C	K00265	glutamate synthase (NADPH) large chain [EC:1.4.1.13]	MER0459472	C44	MER0459472 - glutamate synthase (NADPH) large chain (Veillonella sp. 3_1_44) [C44.003]#C44#{peptidase unit: 36-410}~source ZP_06759546~	True	0.981	778.0	3.356e-235	Glutamine amidotransferases class-II [PF00310.24]; Glutamate synthase central domain [PF04898.17]; Conserved region in glutamate synthase [PF01645.20]; GXGXG motif [PF01493.22]					0
Trial1.fna_assembly_LT906445.1_1674	Trial1.fna_assembly	LT906445.1	1674	1874376	1875242	-1	D										RNA pseudouridylate synthase [PF00849.25]					0
Trial1.fna_assembly_LT906445.1_1675	Trial1.fna_assembly	LT906445.1	1675	1875244	1876437	-1	D										Acetyltransferase (GNAT) domain [PF17668.4]; Sterol carrier protein domain [PF13530.9]					0
Trial1.fna_assembly_LT906445.1_1676	Trial1.fna_assembly	LT906445.1	1676	1876626	1877438	-1	C	K01163	uncharacterized protein								Phosphatidylglycerol lysyltransferase, C-terminal [PF09924.12]					0
Trial1.fna_assembly_LT906445.1_1677	Trial1.fna_assembly	LT906445.1	1677	1877662	1878777	-1	D										Barrel-sandwich domain of CusB or HlyD membrane-fusion [PF16576.8]					0
Trial1.fna_assembly_LT906445.1_1678	Trial1.fna_assembly	LT906445.1	1678	1878889	1879740	1	C	K06221	2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]								Aldo/keto reductase family [PF00248.24]					0
Trial1.fna_assembly_LT906445.1_1679	Trial1.fna_assembly	LT906445.1	1679	1879843	1880181	-1	D										Branched-chain amino acid transport protein (AzlD) [PF05437.15]					0
Trial1.fna_assembly_LT906445.1_1680	Trial1.fna_assembly	LT906445.1	1680	1880174	1880839	-1	D										AzlC protein [PF03591.17]					0
Trial1.fna_assembly_LT906445.1_1681	Trial1.fna_assembly	LT906445.1	1681	1880940	1882106	-1	C	K08325	NADP-dependent alcohol dehydrogenase [EC:1.1.-.-]								Iron-containing alcohol dehydrogenase [PF00465.22]					0
Trial1.fna_assembly_LT906445.1_1682	Trial1.fna_assembly	LT906445.1	1682	1882369	1883187	1	C	K02073	D-methionine transport system substrate-binding protein								NlpA lipoprotein [PF03180.17]					0
Trial1.fna_assembly_LT906445.1_1683	Trial1.fna_assembly	LT906445.1	1683	1883260	1884075	-1	D										Nitroreductase family [PF00881.27]; 4Fe-4S dicluster domain [PF13187.9]; 4Fe-4S dicluster domain [PF12838.10]; 4Fe-4S dicluster domain [PF14697.9]; Putative TM nitroreductase [PF14512.9]; 4Fe-4S dicluster domain [PF13183.9]; 4Fe-4S dicluster domain [PF13746.9]; 4Fe-4S dicluster domain [PF13534.9]					0
Trial1.fna_assembly_LT906445.1_1684	Trial1.fna_assembly	LT906445.1	1684	1884762	1886315	-1	D										Nitrite and sulphite reductase 4Fe-4S domain [PF01077.25]; Nitrite/Sulfite reductase ferredoxin-like half domain [PF03460.20]					0
Trial1.fna_assembly_LT906445.1_1685	Trial1.fna_assembly	LT906445.1	1685	1886538	1887929	-1	C	K06956	uncharacterized protein								Sodium:dicarboxylate symporter family [PF00375.21]					0
Trial1.fna_assembly_LT906445.1_1686	Trial1.fna_assembly	LT906445.1	1686	1888106	1888834	-1	C	K00782	L-lactate dehydrogenase complex protein LldG								LUD domain [PF02589.18]					0
Trial1.fna_assembly_LT906445.1_1687	Trial1.fna_assembly	LT906445.1	1687	1888834	1890279	-1	C	K18929	L-lactate dehydrogenase complex protein LldF								LUD domain [PF02589.18]; 4Fe-4S dicluster domain [PF13183.9]; 4Fe-4S dicluster domain [PF13534.9]; 4Fe-4S dicluster domain [PF13187.9]					0
Trial1.fna_assembly_LT906445.1_1688	Trial1.fna_assembly	LT906445.1	1688	1890292	1891029	-1	C	K18928	L-lactate dehydrogenase complex protein LldE								Cysteine-rich domain [PF02754.19]					0
Trial1.fna_assembly_LT906445.1_1689	Trial1.fna_assembly	LT906445.1	1689	1891553	1893301	1	D										S-layer homology domain [PF00395.23]	SLH			SLH.hmm	0
Trial1.fna_assembly_LT906445.1_1690	Trial1.fna_assembly	LT906445.1	1690	1893485	1894870	1	D										S-layer homology domain [PF00395.23]	SLH			SLH.hmm	0
Trial1.fna_assembly_LT906445.1_1691	Trial1.fna_assembly	LT906445.1	1691	1894966	1895811	-1	E															0
Trial1.fna_assembly_LT906445.1_1692	Trial1.fna_assembly	LT906445.1	1692	1895823	1897901	-1	D										OPT oligopeptide transporter protein [PF03169.18]					0
Trial1.fna_assembly_LT906445.1_1693	Trial1.fna_assembly	LT906445.1	1693	1898400	1899755	1	C	K01679	fumarate hydratase, class II [EC:4.2.1.2]								Lyase [PF00206.23]; Fumarase C C-terminus [PF10415.12]					0
Trial1.fna_assembly_LT906445.1_1694	Trial1.fna_assembly	LT906445.1	1694	1899853	1901034	-1	C	K07098	uncharacterized protein								Calcineurin-like phosphoesterase [PF00149.31]; Calcineurin-like phosphoesterase superfamily domain [PF12850.10]					0
Trial1.fna_assembly_LT906445.1_1695	Trial1.fna_assembly	LT906445.1	1695	1901051	1902148	-1	C	K03575	A/G-specific adenine glycosylase [EC:3.2.2.31]								HhH-GPD superfamily base excision DNA repair protein [PF00730.28]; NUDIX domain [PF14815.9]; Helix-hairpin-helix motif [PF00633.26]					0
Trial1.fna_assembly_LT906445.1_1696	Trial1.fna_assembly	LT906445.1	1696	1902352	1902873	-1	D										NUDIX domain [PF00293.31]					0
Trial1.fna_assembly_LT906445.1_1697	Trial1.fna_assembly	LT906445.1	1697	1902991	1903764	1	D										Domain of unknown function (DUF4931) [PF16285.8]; Galactose-1-phosphate uridyl transferase, N-terminal domain [PF01087.25]; Domain of unknown function (DUF4921) [PF16268.8]					0
Trial1.fna_assembly_LT906445.1_1698	Trial1.fna_assembly	LT906445.1	1698	1903840	1904673	1	C	K07099	uncharacterized protein								Calcineurin-like phosphoesterase [PF00149.31]					0
Trial1.fna_assembly_LT906445.1_1699	Trial1.fna_assembly	LT906445.1	1699	1904683	1904913	1	E															0
Trial1.fna_assembly_LT906445.1_1700	Trial1.fna_assembly	LT906445.1	1700	1905157	1907655	-1	D										YadA-like membrane anchor domain [PF03895.18]; S-layer homology domain [PF00395.23]					0
Trial1.fna_assembly_LT906445.1_1701	Trial1.fna_assembly	LT906445.1	1701	1908076	1909056	-1	D										Probable molybdopterin binding domain [PF00994.27]					0
Trial1.fna_assembly_LT906445.1_1702	Trial1.fna_assembly	LT906445.1	1702	1909141	1909521	-1	C	K06199	fluoride exporter								CrcB-like protein, Camphor Resistance (CrcB) [PF02537.18]					0
Trial1.fna_assembly_LT906445.1_1703	Trial1.fna_assembly	LT906445.1	1703	1909711	1910094	1	D										Helix-turn-helix domain [PF12844.10]; Helix-turn-helix [PF01381.25]; Cro/C1-type HTH DNA-binding domain [PF13443.9]; Helix-turn-helix domain [PF13560.9]; Helix-turn-helix domain [PF13744.9]					0
Trial1.fna_assembly_LT906445.1_1704	Trial1.fna_assembly	LT906445.1	1704	1910293	1911000	-1	C	K22293	GntR family transcriptional regulator, rspAB operon transcriptional repressor								FCD domain [PF07729.15]; Bacterial regulatory proteins, gntR family [PF00392.24]					0
Trial1.fna_assembly_LT906445.1_1705	Trial1.fna_assembly	LT906445.1	1705	1911209	1912150	1	C	K07029	diacylglycerol kinase (ATP) [EC:2.7.1.107]								Diacylglycerol kinase catalytic domain [PF00781.27]; YegS C-terminal NAD kinase beta sandwich-like domain [PF19279.2]					0
Trial1.fna_assembly_LT906445.1_1706	Trial1.fna_assembly	LT906445.1	1706	1912231	1916097	-1	C	K16898	ATP-dependent helicase/nuclease subunit A [EC:5.6.2.4 3.1.-.-]								UvrD/REP helicase N-terminal domain [PF00580.24]; UvrD-like helicase C-terminal domain [PF13361.9]; PD-(D/E)XK nuclease superfamily [PF12705.10]; AAA domain [PF13245.9]; UvrD-like helicase C-terminal domain [PF13538.9]					0
Trial1.fna_assembly_LT906445.1_1707	Trial1.fna_assembly	LT906445.1	1707	1916087	1919644	-1	C	K16899	ATP-dependent helicase/nuclease subunit B [EC:5.6.2.4 3.1.-.-]								PD-(D/E)XK nuclease superfamily [PF12705.10]; UvrD-like helicase C-terminal domain [PF13361.9]					0
Trial1.fna_assembly_LT906445.1_1708	Trial1.fna_assembly	LT906445.1	1708	1919995	1920987	1	E															0
Trial1.fna_assembly_LT906445.1_1709	Trial1.fna_assembly	LT906445.1	1709	1921151	1921699	-1	D										GDSL-like Lipase/Acylhydrolase family [PF13472.9]					0
Trial1.fna_assembly_LT906445.1_1710	Trial1.fna_assembly	LT906445.1	1710	1921848	1923074	-1	D										Major Facilitator Superfamily [PF07690.19]; Sugar (and other) transporter [PF00083.27]					0
Trial1.fna_assembly_LT906445.1_1711	Trial1.fna_assembly	LT906445.1	1711	1923295	1923396	-1	E															0
Trial1.fna_assembly_LT906445.1_1712	Trial1.fna_assembly	LT906445.1	1712	1923436	1924389	-1	C	K03284	magnesium transporter													0
Trial1.fna_assembly_LT906445.1_1713	Trial1.fna_assembly	LT906445.1	1713	1924836	1926965	-1	C	K01534	Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]								haloacid dehalogenase-like hydrolase [PF00702.29]; E1-E2 ATPase [PF00122.23]					0
